NOx_EO,AIR Flow,Fuel flow,Gexh ,T4,N,MD,Power,Air to Fuel RATIO,Velocity,diff_pressure,LABEL
273.42,229.75,11.68,241.43,368.31,1612.9,313.52,50.16,19.67,45,2.37,0
282.83,182.62,11.08,193.7,365.7,1447.8,256.58,36.55,16.48,10,1.3,0
286.19,140.22,9.87,150.09,360.93,1283.9,180.93,22.71,14.21,69,2.8,0
286.95,112.09,8.21,120.3,353.68,1147.6,50.45,5.77,13.65,130,0.23,0
289.06,112.95,6.28,119.23,342.74,1058.4,2.31,0.25,17.98,127,3.03,0
329.68,107.72,3.8,111.52,331.43,1006.1,1.24,0.13,28.33,0,3.2,1
343.61,104.68,2.13,106.81,321.47,988.2,0.35,0.04,49.23,56,2.5,0
193.62,104.13,1.42,105.55,313.73,988.1,2.53,0.26,73.37,34,2.37,0
39.94,105.05,1.18,106.23,306.71,995.1,0.41,0.04,88.86,12,1.3,0
75.36,106.52,1.14,107.66,301.05,1002.4,-0.23,0,93.41,69,2.8,0
95.42,107.15,1.15,108.3,295.38,1005.2,-0.66,0,92.92,61,0.23,0
117.24,106.5,1.17,107.67,289.77,1000.6,1.7,0.18,91.16,58,3.03,0
137.3,105.81,1.13,106.94,284.18,996.3,1.54,0.16,94.05,44,3.2,0
144.22,106.16,1.07,107.23,279.26,995.7,6.14,0.63,98.83,21,2.5,0
122.69,106.03,1.04,107.07,275.27,997.6,1.17,0.12,101.92,90,2.37,0
99.95,106.51,1.02,107.53,271.47,999.6,2.26,0.24,104.83,99,1.3,0
104.67,107.02,1,108.02,268.02,1001.3,0.97,0.1,106.54,101,2.8,0
117.03,107.11,1,108.11,264.37,1001.9,0.56,0.06,107.34,122,3.56,0
134.03,107.11,1,108.11,260.86,1002.7,0.07,0.01,107.64,123,0.32,0
131.66,107.23,0.98,108.21,257.65,1002.1,1.35,0.14,109.28,165,0.78,0
120.84,107.24,0.96,108.2,254.57,998.6,3.32,0.34,111.86,121,1.43,0
104.72,106.72,0.93,107.65,252.23,997.5,0.08,0.01,115.04,100,2.56,0
101.81,106.66,0.91,107.57,249.91,997.9,1.33,0.14,117.2,87,0.32,0
106.74,106.85,0.91,107.76,247.66,1000,-0.85,0,117.47,90,1,1
117.15,107.24,0.92,108.16,245.26,1003.4,1.26,0.13,116.42,77,2.3,1
126.99,107.55,0.93,108.48,242.88,1003.3,1.77,0.18,116.16,109,0.57,0
124.85,107.39,0.92,108.31,240.62,999,-0.39,0,116.49,110,0.65,0
112.13,107.05,0.89,107.94,238.83,991.1,1.82,0.19,119.69,34,0.78,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
